,Comment
47,Hi I need typescript full video thank you 😊
48,This is a very idotic move.
49,❤nice
50,can you make a video one shot on Docker?
51,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2400"">40:00</a>"
52,Thanks sharadha mam🙏🙏🙏
53,Didi please gerrit and zuul CI chain bhi ek video bana do
54,Thank you for explaining in easy way
55,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3933"">1:05:33</a>"
56,Thank You ma&#39;am
57,Please stop ruining the Indian dev community
58,Thank you so much❤❤<br>Very helpful video ☺️👍
59,Please report this video. She needs to understand that pinning a comment is not helping the situation. It&#39;s tarnishing the image of the country and it seems that she couldn&#39;t care less.
60,"Those who is a beginner and want to learn Git commands with this video, please stop right away and thank me for saving your life and time"
61,Thank you.... Bacche bevkoof h toh teacher jaan thodi denge ...
62,best video about git and github
63,what is this happening i mean why people are mad is there something wrong in this video?
64,Per main toh single hu
65,TYSM &lt;3
66,thank you so much di for everything you did for us
67,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4421"">1:13:41</a> So that&#39;s where the problem started 😂😂😂😂"
68,A very helpful one. Thank you!
69,"Get-ChildItem : Parameter cannot be processed because the parameter name &#39;a&#39; is ambiguous. Possible matches include: -Attributes -Directory -File -Hidden -ReadOnly <br>-System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildItem], ParameterBindingException<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.PowerShell.Commands.GetChildItemCommand<br><br>what is this error ??"
70,downvoted and reported this videos just because the tutor is ignoring the problem she has created within the opensource community.
71,THANK YOU SO MUCH
72,Superb content. To the point. In detail explanation.
73,Why is this video not yet taken down ?
74,Superb way of teaching.. Big Thanks
75,pta nhi kyu lekin inka pdaya hua kuch bhi samajh nhi ata
76,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1309"">21:49</a>"
77,in dealing with english ( - ) its hyphen not minus
78,git clone pe username and password maangta hy is ka koi solution bata den
79,Engagement on stage - Very bad reference 😂😂 By the way clear &amp; cut explanation. All my doubts cleared. 👍👍
80,sound speed is too much. Unable to understand any after 15 mim
81,"i am already watching at 1.5x and again u got 2x <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1080"">18:00</a>   🧐🧐"
82,56
83,"At  <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1643"">27:23</a> the command &quot;ls -a&quot; is not working and showing me error ?"
84,many many thanks for this video<br>i had a problem almost 3 days not fixed my problem<br>but right now all problem solve its a very easily solve u
85,51
86,😂😂😂😂😂😂 button daba diya nahi dabana tha 😂😂😂
87,"ls -a is not working getting this pop-up &quot;Get-ChildItem : Parameter cannot be processed because the <br>parameter name &#39;a&#39; is ambiguous. Possible matches include: <br>-Attributes -Directory -File -Hidden -ReadOnly -System.<br>At line:1 char:4&quot;"
88,42
89,When will you start React course?
90,"At <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4445"">1:14:05</a>, she has explicitly mentioned to not make unnecessary changes unless u have something useful to contribute. Even after this if people are not listening then the blame is on the contributors and not @ApnaCollegeOfficial"
91,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1380"">23:00</a>"
92,Hi Shradha. This is my first comment on your video. I really appreciate you to making this video and your youtube channel for learning. you&#39;re awesome teacher.<br>Can you please add Docker and Kubernetes detailed video for study. I fond of the learning those technologies that I never find a good way to understand these.
93,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2160"">36:00</a>"
94,react.js ka oneshot/playlist bana do...that&#39;ll be much helpful!......btw thanks for this kind of great content.
95,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1680"">28:00</a>"
96,"Bookmark: <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=570"">9:30</a>"
97,fatal: could not create work tree dir &#39;&#39;: Permission denied<br><br>error ......
98,"source control showing 10k changes, I tried deleting changes but nothing happened, should I commit or what?  i just started and its all already messed up"
99,You guys literally dont have any concience
100,What the heck are you doing.. seriously.. why should the opensource community should suffer for you..??
101,"ls -a command is not working in my laptop . please help me.   <br><br>ls-a : The term &#39;ls-a&#39; is not recognized as the name of a <br>cmdlet, function, script file, or operable program. Check the  <br>spelling of the name, or if a path was included, verify that   <br>the path is correct and try again.<br>At line:1 char:1<br>+ ls-a<br>+ ~~~~<br>    + CategoryInfo          : ObjectNotFound: (ls-a:String) [  <br>   ], CommandNotFoundException<br>    + FullyQualifiedErrorId : CommandNotFoundException"
102,mam aap abhi staged phase mein ho ya committed phase mein ho?
103,ls -a is showing some syntax get - child item error
104,"anpadh bachho ko kese padhate hai , shiko kuch didi se ,  code with herry , hahha"
105,jisko english bolna nahi aat wo sikh sakta hai kya
106,great course
107,very well and easy explanation...well done!
108,ls -a not working
109,That&#39;s why you layedoff from ms :|
110,"Hello mam.<br><br>I am unable to access git in vs code! (git: The term &#39;git&#39; is not recognized as the name of a cmdlet, function, script file, or executable program.<br>Check the spelling of the name, or if a path was included, verify that the path is correct and try again.) This is the error that I am facing in vs code! please give me the solution about this?"
111,ls -a cmd is not working
112,"Timestamp: <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2746"">45:46</a>"
113,"<a href=""https://www.youtube.com/watch?v=o2CSJYXJBpc"">https://www.youtube.com/watch?v=o2CSJYXJBpc</a> . Should Watch before Learning Git and Github. A humble request to indian students."
114,for those whose &quot;ls -a&quot; isn&#39;t working you can also type &quot;ls -Hidden&quot; gives same results...
115,Didi ek video banaye how to deploy webpage
116,Thanks
117,Amazing 🙌as a beginner I undrstand everything
118,"(error ls -a)<br>Get-ChildItem : Parameter cannot be processed because the parameter name &#39;a&#39; is ambiguous. Possible matches include: <br>-Attributes -Directory -File -Hidden -ReadOnly -System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildItem], ParameterBindingException<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.PowerShell.Commands.GetChildItemCommand"
119,Iss video ne to bawal macha dala. But galti to bewakuufo ki hai jo bina proper dekhe sune hagne aa gaye git hub pe.
120,Please Take this Video Down
121,thankyou akka
122,Just take this video down.
123,&quot;ls -a&quot;  not working i donno why
124,take this video down
125,THANKS FOR RUINING IMAGE OF INDIAN DEVELOPERS
126,Dude pls edit this video <br>its causing so much embarrassing moment for the indian developers  <br>are didi sun lo humari request pls ....
127,thank you
128,Apna college has become pain in ass.
129,"They don&#39;t give a damn, i will report it,maybe they will take action."
130,Take down this video please! This is hurting India&#39;s image also causing racism towards Indians.
131,Thanks a lot
132,"nice informative but very basic level. You have not covered things like Gitignore, Tags, Rebase, etc"
133,"i use nvim <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1111"">18:31</a>"
134,"If &quot;ls -a&quot; is not working just type &quot;Get-ChildItem -Force&quot; in your powershell or if you want to run &quot;ls -a&quot; change from powershell to gitbash. I hope it will help , Happy Coding Coders😊"
135,Take down this video please! This is hurting India&#39;s image also causing racism towards Indians.
136,Take down this video please! This is hurting India&#39;s image also causing racism towards Indians.
137,Take down this video please! This is hurting India&#39;s image also causing racism towards Indians.
138,Take down this video please! This is hurting India&#39;s image also causing racism towards Indians.
139,do not redeem saar
140,pa jeets are a menace to the society...
141,Vs code ne GitHub connect kasa kela Tai
142,Take down this video please! This is hurting India&#39;s image also causing racism towards Indians.
143,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4428"">1:13:48</a>"
144,Noob
145,how dare you
146,please take this video down this is terrible
147,Hey can you please take down this video as now it coming to reputation of Indian dev..<br>Please take it seriously
148,"amazing  tutorials , i now created my owm contribution to official coding  repo in industry (epxress js)"
149,"thans to this video, İ found a jop in gogle, thanks ymucjhh."
150,Saaaar
151,Booo your a terrible person in the CS community. Don’t watch this trash.
152,⚠️ Please take down the video and make a proper tutorials for *beginners*.
153,Command ls -a is not working in my system<br>   Please suggest the solution of it.
154,TAKE this video down
155,Can we label Apna college as Spammer college
156,good morning sirs
157,Please take down this video and upload a new one with your own GitHub repo to let people test. You cannot &quot;hand-wave&quot; a problem you created by just putting up a notice in your comment section. Please know that this does not reflect well on all Indian programmers.
158,Good morning sars
159,Reported
160,GOOD MORNINGSARS
161,This course is helpful ☺️
162,😇Well explained😇
163,Ek Linux ki video banao na
164,How to obtain SSH key 😢
165,What do you put in the command prompt to poo in loo?
166,didi full stack web devlopment ka be ek series youtube me karlo na
167,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2280"">38:00</a>"
168,Thanku
169,Thank you didi
170,An amazing teacher Excellent explanation with scenarios
171,Helpful
172,"Edit out that part, you&#39;ve already screwed up the repo"
173,"Imagine Micheal Jackson with popcorn, I’m just here for the drama"
174,Indians are at it again.
175,Muje error arha he  -a se hidden file .git show nhi horhi what is prob
176,Plz typescript
177,"Best video ever, ignore the haters &lt;3"
178,Why it sounds like every second sentence is english?
179,"All is going good with GitHub and vs code ,but whenever I use push command it&#39;s not showing the same on GitHub what to do??"
180,"thank u so much for this video<a href=""UCkszU2WH9gy1mb0dV-11UJg/Iv90XouTLuOR8gSxxrToBA""></a>"
181,People like you are disgrace to the Indian tech community! Freshers please stop learning from Bhaiya/Didi YouTube channels and learn from real tutorials or official documentations. I am being regularly in interview panels and can easily identify those who learnt from Bhaiya/Didi channels and straight away reject you from further rounds!
182,worse audience ever
183,Becoz of this type of video genuine Indian contributors are also labelled as spammers..
184,how to upload a file on github more than 25mb ?????
185,Thank you mam❤❤.
186,take down the video
187,How can someone who has served for Microsoft can be so irresponsible. <br>There are some ethics that one should follow.<br>Please take down the video !
188,Wow you could&#39;ve literally just created a repo in a colleague&#39;s account which pretends to be &quot;another company&quot; for the sake of demonstration. Why on earth did you have to use an active project?!<br><br>Please take this video down or edit the part about forks...
189,"Absolutely brilliant video, excellent presentation"
190,Takedown the vedio
191,"<a href=""https://www.youtube.com/watch?v=o2CSJYXJBpc"">https://youtu.be/o2CSJYXJBpc?si=T_V0VdaSvcWdWpIR</a>"
192,Take the Video down.<br>The damage is already done.
193,How did she get hired by Microsoft ?? 🥴
194,YOU GUYS BETTER TAKE THIS VIDEO DOWN RN !!!
195,disrespectful
196,Apna college is obviously for completely disrespectful idiots
197,nice video mam
198,just take it down
199,Test
200,"<a href=""https://www.youtube.com/watch?v=o2CSJYXJBpc"">https://www.youtube.com/watch?v=o2CSJYXJBpc</a>"
201,Just take the fucking video down
202,Please STOP !
203,dude take this down causing a huge ruckus amng devs
204,idiots
205,The only responsible thing to do is take this video down
206,Didi 🤡 take down the video basadh macha di aapne <br>Lagat nai aap jaise logon ki bhi Microsoft mai job lag jati hai 🤡
207,Kindly pdf nonote arrange karwa dye k0i
208,does not working vs code
209,Thank you!!
210,Pls trim that part please.
211,Thank you for such amazing session.
212,Who came here after seeing yesterday&#39;s video like here 👇
213,Trim this video mam :)
214,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1280"">21:20</a> Home Directory ✅"
215,Hi /g/
216,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4384"">1:13:04</a> main culprit 5 month ke bad bomb phuta🤣🤣🤣🤣🤣"
217,mam g  please make a one shot video on REACT JS .
218,💯% helfol video
219,Thank you😌
220,Good explanation.
221,Good morning sirs!
222,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4380"">1:13:00</a>"
223,Can you show a banner to not spam ExpressJS?
224,"This has become a source of spam PRs in the express js repo.<br><br>Please stop making PRs on real projects. You can practise by creating, forking, pushing to YOUR OWN repo.<br><br>I think apna college should take responsibility and take this video down (or trim the github demo). Help the maintainers of express js in reducing the spam PRs."
225,"Denied permission <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2820"">47:00</a>"
226,I got problem while git push origin main
227,thank you didi
228,fatal:pathspec didnot match any files how to solve?
229,please start C# full course and how to use ViSUAL STUDIO IDE <br>please start C# full course and how to use ViSUAL STUDIO IDE <br>please start C# full course and how to use ViSUAL STUDIO IDE <br>please start C# full course and how to use ViSUAL STUDIO IDE
230,please start C# full course<br>please start C# full course<br>please start C# full course<br>please start C# full course<br>please start C# full course<br>please start C# full course
231,please start C# full course<br>please start C# full course
232,please start C# full course
233,please start C# full course
234,please start C# full course
235,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1219"">20:19</a> 😂😂😂"
236,"<a href=""http://www.youtube.com/results?search_query=%23version"">#Version</a> Control System.."
237,"Thank you for giving top notch knowledge,i really impressed by the quality of your content and all the knowledge and teaching skill you have."
238,Can&#39;t automatically merge &#39;a error occur when I open a pull request ⌛
239,Thanks a lot shraddha didi 🤩🤩
240,If someone facing problem with ls -a in windows use ls -Force
241,thanks
242,very informative shradha
243,Very helpful ❤❤
244,"Why you&#39;re not Teaching in English 😔😔 . I don&#39;t know Hindi , Your channel has All the content useful for freshers but those are only for their native speakers . big disappointment"
245,Mam Really you are great  about teaching......
246,Awesome video learned a lot from this video highly recommended
247,Thank you 🙏
248,will i learn git after watching this video can i add it to my resume
249,"If we clone a remote repo to a local repo once, than later if we add files and folders to that local repo, than how we can upload it to the remote repo???"
250,Thank you
251,One&#39;s facing problem in ls -a command in terminal --&gt; Open the Terminal dropdown (next to the + icon) and select  Command Prompt( Default) option
252,Very Well Explained with Examples<br>Thanks !!
253,unable to clone repo from github
254,fatal: not a git repository (or any of the parent directories): .git<br> how to fix this problem
255,Thank you mam ❤
256,an amazing session .. thanks to Shradha didi ❤❤❤❤
257,Very Useful Video.<br>Thank You !
258,jab me push command run karta ho to &quot;unable to access &quot; ka message arrha he ye kya masla he anyone ???
259,Ma&#39;am<br>React.js ki one shot video laao plzzz
260,"Watched till :- <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2941"">49:01</a>"
261,thank you
262,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w"">0:00</a> Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=67"">1:07</a> Git Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=300"">5:00</a> GitHub Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=445"">7:25</a> Setting Up GitHub<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=986"">16:26</a> Setting Up Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1213"">20:13</a> Configuring Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1383"">23:03</a> Working with VS Code<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1442"">24:02</a> Clone and Status<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1943"">32:23</a> Add and Commit<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2155"">35:55</a> Push Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2371"">39:31</a> Init Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2949"">49:09</a> Work Flow"
263,Thank you Mam !
264,Nice and helpful 👍
265,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1218"">20:18</a>"
266,Best tutorial i have ever seen 🤌🤝🖤
267,Amazing Helpfull tutorial
268,"Sir, I have facing some problem on GitHub, can you please solve it.<br><br>After pushing my flutter project, the language specification is showing the project is written in C++ mostly. But this project is written in Dart."
269,Please provide AWS complete course
270,Amazing
271,Video me Jo title aa rha he usko hata dijiye Madam code nhi dikhta he
272,Very Helpful Session😊👍
273,Bahut he achha lga tutorial ko complete krke aap aise he aur bhi tutorials bnati raho<br>Best of luck 🤞
274,"I have watched so many videos,that didn&#39;t help at all.<br>Shradha didi you are a true angel for us.thank you"
275,Jus loved it fabulous!!!!!👏👏
276,I ls -a command is not working showing Get-ChildItem : Parameter cannot be processed because the parameter name<br>&#39;a&#39; is ambiguous. Possible matches include: -Attributes<br>-Dinectory -File -Hidden -Readonly -system.<br>At line:1 char:4
277,"day_1 <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2897"">48:17</a>"
278,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3225"">53:45</a>"
279,Thank you so much mam !!❤❤
280,Nice contribution but need more improvement!
281,Really Helpful thank you!
282,Mam need all tutorial for devops ...its very helpful to understand.... thanks a lot .. please need all tutorial for devops
283,How can we maintain SAP ABAP projects on GIT ?
284,exeptional........madam
285,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2798"">46:38</a>"
286,"I didn&#39;t understand the part <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2579"">42:59</a>"
287,please provide docker and kubernetes tutorial
288,For those who faced such a problem e.g. &quot;ls -a&quot;. I would like to tell you can resolve this problem by this &quot;ls -hidden&quot;
289,"Finally, I have completed this video, thank you so much Shraddha ma&#39;m for this. It&#39;s one of the best GitHub video , easy to understand. You cleared my all doubts, now I&#39;m feeling confident. so thank so you much ma&#39;m ❤"
290,kindly upload its second part if you can
291,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2379"">39:39</a> how to push repos from local machine to github"
292,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2187"">36:27</a> mins : how to push"
293,"Amazing tutorial, brilliantly explained. God bless you. Keep making tutorials in such a easy language ki coding se hi pyaar ho jaye💌💌"
294,microsoft ka h n github. wo to definitely yhi use krega
295,You’re awesome 🫡
296,"What a lecture , Just loved it ❤🤌"
297,110
298,"for those who are not able to find git in vscode terminal or any terminal, first close terminal and then retry."
299,me bangaldesh se huoo. Me kese git and github notes download karungi...
300,Thank you didi
301,"PS C:\Users\sharm\OneDrive\Desktop\Git-demo&gt; git --version<br>git : The term &#39;git&#39; is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify <br>that the path is correct and try again.<br>At line:1 char:1<br>+ git --version<br>+ ~~~<br>    + CategoryInfo          : ObjectNotFound: (git:String) [], CommandNotFoundException<br>    + FullyQualifiedErrorId : CommandNotFoundException<br><br>I&#39;m getting this error when i&#39;m checking my git version in terminal<br>please help"
302,ppt kaha hai iski jo mam use kr rhe hai?
303,Cheat sheet Kahan se download karna hai GitHub ke comments ki
304,Nice 👍
305,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2933"">48:53</a>"
306,&#39;-&#39; is not minus but hyphen.
307,"plz make a tutorial on ci/cd pipeline Jenkins, docker &amp; Kubernetes step by step"
308,thanks for the tutorial
309,"Amazing. Clear and succinct explanation. honestly, I was sceptical by looking at the duration of less than 1.5 hr but it&#39;s a worthy course.<br>Would have been even better had you slowed a bit your pace of spekaing :)<br>Highly recommended though."
310,I dont think you should use Microsoft name nowdays...You dont need that.
311,thankyou so much
312,What language is that ?
313,Thanks Mam<br>Really Useful Content
314,Thank you DIDI.khush rho ap hamesha
315,"hello di.....Bootstrap ka v ek one shot video bna dijiye.<br> i watched your all one shot video &amp; learn these skills very well."
316,thank you mam for such a informative lecture
317,Thank you so so so so much shraddha...🤗🤗♥♥♥♥
318,🤞
319,"when i am using &quot;git push origin main&quot; command, at my github only file names are shown .The code inside them is zero."
320,"I have an Issue to run a command &quot;ls -a&quot; on vs code terminal Here&#39;s the issue message;<br><br>&quot; Get-ChildItem : Parameter cannot be processed because the<br>parameter name &#39;a&#39; is ambiguous. Possible matches include:        <br>-Attributes -Directory -File -Hidden -ReadOnly -System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildIte  <br>   m], ParameterBindingException<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.Power  <br>   Shell.Commands.GetChildItemCommand &quot;"
321,reset with git log not working please anyone tell me.
322,\ No newline at end of file anyone facing this problrm durin git diff
323,nice ....
324,"ls -a is not working (windows), it suggests ls -Hidden"
325,Plz c#
326,aap ka bohot bohot sukriya didi
327,Ram ram didi
328,Ma&#39;am clone nhi ho rha vs code pe
329,Mam devops k kitna tools job k liya enough hai
330,"PS C:\Users\Dell\Desktop\our work\git-demo\project-demo&gt; ls -a<br>Get-ChildItem : Parameter cannot be processed because the parameter name &#39;a&#39; is ambiguous. Possible <br>matches include: -Attributes -Directory -File -Hidden -ReadOnly -System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildItem], ParameterBindingException<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.PowerShell.Commands.GetChildItemCommand  <br><br><br>ye error aa rha hai smaj nhi aa rha hai"
331,Great video Shradha.. very well explained and concise to the point
332,"great to learn all required info from one video,nice"
333,"branches are not showing on github, only showing on vs code tried twice but not available"
334,when u created git demo folder? i am not able to connect git and VS code
335,thank you  mem for your Well teaching
336,"Dii after type git push origin main command, error is generated"
337,Very helpful video. 👌👌
338,Open source distribution krne k baad hum merge command ka use nahi kr skte?<br>Ya phir pull request hi mandatory hai?
339,Thanks for tutorial Shradha khapra
340,niceeeeeeeeeeeeeeeeeeeeeeeeee
341,best lecture on github easy understanding
342,Thanks for this tutorial. Explained everything in detail 😊
343,"Can we please get notes taught by you in this video. btw, Thanks for this amazing content. Much appreciated and useful"
344,Speak in English bruh...  😒
345,"I have no words to thank you! One of the best tutorials online, Thank you once more."
